tv_series,tv_seriesLabel,start_time,end_time,award,awardLabel,award_year,award_type
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q2530270,Премия Гильдии киноактёров США за лучший актёрский состав в драматическом сериале,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q6952069,NAACP Image Award лучшему актёру второго плана в драматическом сериале,2007-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1255198,Премия «Золотой глобус» за лучший телевизионный сериал — драма,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q6952069,NAACP Image Award лучшему актёру второго плана в драматическом сериале,2009-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q6952069,NAACP Image Award лучшему актёру второго плана в драматическом сериале,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q989445,Премия «Эмми» за лучшую женскую роль в драматическом телесериале,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1543426,NAACP Image Award лучшему актёру драматического сериала,2010-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1543426,NAACP Image Award лучшему актёру драматического сериала,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q7669614,Премия Ассоциации телевизионных критиков за выдающиеся достижения в драме,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1255198,Премия «Золотой глобус» за лучший телевизионный сериал — драма,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q989438,премия «Эмми» за лучший драматический сериал,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1543426,NAACP Image Award лучшему актёру драматического сериала,2011-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q3473898,премия «Спутник» за лучшую мужскую роль в драматическом телесериале,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q7243508,Прайм-таймовая премия «Эмми» за лучшую музыкальную композицию для телесериала,2007-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q2530270,Премия Гильдии киноактёров США за лучший актёрский состав в драматическом сериале,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1543426,NAACP Image Award лучшему актёру драматического сериала,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q989438,премия «Эмми» за лучший драматический сериал,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q6952069,NAACP Image Award лучшему актёру второго плана в драматическом сериале,2006-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q2350896,премия «Спутник» за лучшую женскую роль в телевизионном сериале — драма,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q2530270,Премия Гильдии киноактёров США за лучший актёрский состав в драматическом сериале,2004-01-01T00:00:00Z,
