tv_series,tv_seriesLabel,start_year,end_year,awardLabel,subjectLabel
http://www.wikidata.org/entity/Q14944179,Острые козырьки,2013,2022,премия BAFTA,Острые козырьки
http://www.wikidata.org/entity/Q19572149,Люди,2015,2018,British Academy Television Awards за лучший драматический сериал,искусственный интеллект
http://www.wikidata.org/entity/Q15223101,Гормоны,2013,2015,Q16307771,старшая школа
http://www.wikidata.org/entity/Q5204762,DEA,1990,1991,Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series,
http://www.wikidata.org/entity/Q2579463,Викинги,2013,2020,Эмми,Рагнар Лодброк
http://www.wikidata.org/entity/Q4742702,America: A Personal History of the United States,1972,1973,British Academy Television Award for Best Factual Series or Strand,
http://www.wikidata.org/entity/Q7336117,Rising Damp,1974,1978,British Academy Television Award for Best Entertainment Performance,
http://www.wikidata.org/entity/Q7336117,Rising Damp,1974,1978,British Academy Television Award for Best Situation Comedy,
http://www.wikidata.org/entity/Q10381261,Cher,1975,1976,"Прайм-таймовая премия «Эмми» за лучший сценарий для варьете, музыкального или комедийного сериала",
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,TCA Award for Outstanding New Program,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,TCA Heritage Award,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия Ассоциации телевизионных критиков за выдающиеся достижения в драме,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия Ассоциации телевизионных критиков за программу года,политическая система США
http://www.wikidata.org/entity/Q16913682,Девственница Джейн,2014,2019,Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл,латиноамериканцы США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Costume Designers Guild Award for Best Costume Design – Contemporary TV Series,политическая система США
http://www.wikidata.org/entity/Q7000827,Network First,1994,1997,British Academy Television Award for Best Factual Series or Strand,
http://www.wikidata.org/entity/Q14925221,Лучше звоните Солу,2015,2022,Премия «Золотой глобус» за лучший телевизионный сериал — драма,
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия Гильдии режиссёров Америки за лучшую режиссуру — Драматический телесериал,политическая система США
http://www.wikidata.org/entity/Q11765883,Madison,1993,1998,Gemini Award for Best Dramatic Series,
http://www.wikidata.org/entity/Q11765883,Madison,1993,1998,Gemini Award for Best Performance by an Actor in a Continuing Leading Dramatic Role,
http://www.wikidata.org/entity/Q11765883,Madison,1993,1998,Gemini Award for Best Performance by an Actress in a Continuing Leading Dramatic Role,
http://www.wikidata.org/entity/Q10381261,Cher,1975,1976,премия «Эмми» за лучшее выступление в варьете или музыкальной программе,
http://www.wikidata.org/entity/Q10563926,Дом семейства Пэйн,2006,2012,NAACP Image Award за лучший комедийный сериал,
http://www.wikidata.org/entity/Q10563926,Дом семейства Пэйн,2006,2012,NAACP Image Award лучшей актрисе в комедийном сериале,
http://www.wikidata.org/entity/Q10563926,Дом семейства Пэйн,2006,2012,NAACP Image Award лучшему актёру в комедийном сериале,
http://www.wikidata.org/entity/Q16988855,Доктор Фостер,2015,2017,British Academy Television Awards,
http://www.wikidata.org/entity/Q7000827,Network First,1994,1997,премия «Волны»,
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,премия Ассоциации телевизионных критиков за личные достижения в драме,политическая система США
http://www.wikidata.org/entity/Q7823808,Too Cute,2011,2017,Primetime Emmy Award for Outstanding Narrator,
http://www.wikidata.org/entity/Q5180377,Crackerjack!,1955,1984,BAFTA's Children & Young People Award - Non-scripted,
http://www.wikidata.org/entity/Q10381261,Cher,1975,1976,Primetime Emmy Award for Outstanding Choreography,
http://www.wikidata.org/entity/Q10381261,Cher,1975,1976,"Primetime Emmy Award for Outstanding Variety, Music or Comedy Series",
http://www.wikidata.org/entity/Q10381261,Cher,1975,1976,Прайм-таймовая премия «Эмми» за лучшую оригинальную музыку и слова,
http://www.wikidata.org/entity/Q3988846,The Private Life of Plants,1995,1995,British Academy Television Award for Best Factual Series or Strand,растения
http://www.wikidata.org/entity/Q18844729,Мистер Робот,2015,2019,Премия «Золотой глобус» за лучшую мужскую роль в телевизионном сериале — драма,
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,премия «Спутник» за лучшую женскую роль в телевизионном сериале — драма,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Спутник» за лучший телевизионный сериал — драма,политическая система США
http://www.wikidata.org/entity/Q3283662,The Wendy Williams Show,2008,2022,Daytime Emmy Award for Outstanding Entertainment Talk Show Host,
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,кокаин
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,наркоторговля
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,убийство
http://www.wikidata.org/entity/Q10563926,Дом семейства Пэйн,2006,2012,NAACP Image Award лучшей актисе второго плана в комедийном сериале,
http://www.wikidata.org/entity/Q10563926,Дом семейства Пэйн,2006,2012,NAACP Image Award лучшему актёру второго плана в комедийном сериале,
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,Наркокартель Кали
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,Медельинский кокаиновый картель
http://www.wikidata.org/entity/Q3234199,Hi-5,1999,2011,Logie Award for Most Outstanding Children's Program,
http://www.wikidata.org/entity/Q3330940,Карточный домик,2013,2018,Премия «Золотой глобус» за лучший телевизионный сериал — драма,политика
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Прайм-тайм премия «Эмми» за лучший сценарий драматического телесериала,политическая система США
http://www.wikidata.org/entity/Q18643718,Любовь,2016,2018,Премия «Спутник» за лучший телевизионный сериал — комедия или мюзикл,
http://www.wikidata.org/entity/Q3330940,Карточный домик,2013,2018,Премия «Золотой глобус» за лучшую женскую роль в телевизионном сериале — драма,политика
http://www.wikidata.org/entity/Q5756999,High Society,1995,1996,Эмми,
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,премия Гильдии киноактёров США за лучшую женскую роль в драматическом сериале,политическая система США
